,count,unique,top,freq,first,last
DateTime_Intake,1000,996,2018-05-20 15:04:00,2,2013-10-01 16:10:00,2020-01-26 12:05:00
DateTime_Outcome,1000,998,2018-05-20 18:32:00,2,2013-10-05 12:34:00,2020-02-03 17:45:00
DateofBirth,1000,872,2017-05-21 00:00:00,4,1997-06-11 00:00:00,2019-12-16 00:00:00
