AnimalID,Name_Provided,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome
A699244,Yes,2015-04-26 14:51:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,214,Pure Breed,Dark,2015-05-10 17:12:00,2014-09-24 00:00:00,Spayed Female,228,0
A809942,Yes,2019-12-20 13:17:00,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,137,Pure Breed,Light,2019-12-20 15:14:00,2019-08-05 00:00:00,Neutered Male,137,0
A730645,Yes,2016-07-07 23:45:00,Austin (TX),Stray,Normal,Dog,Intact Male,1461,Mixed Breed,Dark,2016-09-25 00:00:00,2012-07-07 00:00:00,Neutered Male,1541,0
A732284,No,2016-08-05 13:07:00,Austin (TX),Wildlife,Normal,Bat,Unknown,366,Pure Breed,Dark,2016-08-05 13:15:00,2015-08-05 00:00:00,Unknown,366,1
A688065,Yes,2014-09-14 11:15:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1826,Mixed Breed,Dark,2014-11-07 13:35:00,2009-09-14 00:00:00,Neutered Male,1880,0
A738673,Yes,2016-11-19 11:27:00,Austin (TX),Stray,Normal,Dog,Intact Male,184,Mixed Breed,Light,2016-11-19 17:03:00,2016-05-19 00:00:00,Intact Male,184,0
A802527,Yes,2019-08-19 16:02:00,Austin (TX),Stray,Normal,Cat,Intact Male,28,Pure Breed,Light,2019-10-03 13:11:00,2019-07-22 00:00:00,Neutered Male,73,0
A769953,No,2018-04-13 07:09:00,Austin (TX),Stray,Nursing,Cat,Unknown,16,Mixed Breed,Light,2018-04-13 12:33:00,2018-03-28 00:00:00,Unknown,16,0
A764882,Yes,2018-01-08 12:01:00,Austin (TX),Stray,Normal,Dog,Intact Male,275,Mixed Breed,Light,2018-01-08 18:06:00,2017-04-08 00:00:00,Intact Male,275,0
A518937,Yes,2015-11-12 11:21:00,Austin (TX),Stray,Normal,Dog,Spayed Female,3380,Mixed Breed,Dark,2015-11-17 13:30:00,2006-08-11 00:00:00,Spayed Female,3385,0
A727401,Yes,2016-05-21 16:29:00,Austin (TX),Stray,Normal,Dog,Intact Male,157,Mixed Breed,Dark,2016-06-04 18:15:00,2015-12-16 00:00:00,Neutered Male,171,0
A781752,Yes,2018-10-05 01:07:00,Austin (TX),Stray,Normal,Dog,Intact Female,365,Mixed Breed,Light,2018-10-09 11:48:00,2017-10-05 00:00:00,Intact Female,369,0
A747411,Yes,2017-04-20 17:44:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,75,Mixed Breed,Dark,2017-04-22 18:29:00,2017-02-04 00:00:00,Spayed Female,77,0
A673396,No,2014-02-23 13:40:00,Austin (TX),Stray,Normal,Cat,Intact Male,365,Mixed Breed,Light,2014-02-26 15:08:00,2013-02-23 00:00:00,Intact Male,368,0
A705896,Yes,2015-06-22 13:54:00,Austin (TX),Stray,Sick,Dog,Intact Male,151,Mixed Breed,Dark,2015-07-10 12:27:00,2015-01-22 00:00:00,Intact Male,169,0
A680551,No,2014-06-04 11:09:00,Austin (TX),Stray,Normal,Cat,Intact Female,53,Mixed Breed,Light,2014-06-20 18:05:00,2014-04-12 00:00:00,Spayed Female,69,0
A793759,Yes,2019-04-29 14:04:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,182,Mixed Breed,Dark,2019-05-05 13:09:00,2018-10-29 00:00:00,Spayed Female,188,0
A803084,Yes,2019-08-27 11:19:00,Austin (TX),Stray,Normal,Cat,Intact Female,1095,Mixed Breed,Dark,2019-09-01 10:50:00,2016-08-27 00:00:00,Intact Female,1100,0
A801690,No,2019-08-07 15:57:00,Austin (TX),Stray,Normal,Cat,Intact Female,1,Pure Breed,Dark,2019-09-25 16:17:00,2019-08-06 00:00:00,Intact Female,50,0
A747894,No,2017-04-26 13:07:00,Austin (TX),Stray,Normal,Cat,Intact Male,11,Mixed Breed,Dark,2017-07-01 20:01:00,2017-04-15 00:00:00,Neutered Male,77,0
A797222,Yes,2019-06-10 18:08:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,90,Pure Breed,Dark,2019-06-12 16:21:00,2019-03-12 00:00:00,Spayed Female,92,0
A783039,No,2018-10-24 15:07:00,Austin (TX),Wildlife,Sick,Bat,Unknown,730,Mixed Breed,Dark,2018-10-24 15:29:00,2016-10-24 00:00:00,Unknown,730,1
A732319,Yes,2016-09-25 14:31:00,Austin (TX),Stray,Normal,Dog,Neutered Male,781,Mixed Breed,Light,2016-09-26 17:52:00,2014-08-06 00:00:00,Neutered Male,782,0
A727816,Yes,2016-05-26 12:14:00,Austin (TX),Stray,Normal,Cat,Intact Female,30,Mixed Breed,Dark,2016-07-09 17:29:00,2016-04-26 00:00:00,Spayed Female,74,0
A771268,Yes,2018-05-02 17:07:00,Austin (TX),Stray,Normal,Cat,Intact Female,36,Mixed Breed,Light,2018-06-20 13:24:00,2018-03-27 00:00:00,Spayed Female,85,0
A662171,Yes,2017-12-23 10:21:00,Pflugerville (TX),Stray,Normal,Dog,Spayed Female,2151,Mixed Breed,Dark,2017-12-24 13:27:00,2012-02-02 00:00:00,Spayed Female,2152,0
A595670,Yes,2018-10-12 17:29:00,Austin (TX),Stray,Normal,Dog,Neutered Male,3856,Pure Breed,Light,2018-10-12 18:36:00,2008-03-22 00:00:00,Neutered Male,3856,0
A734356,Yes,2016-09-05 14:48:00,Austin (TX),Stray,Normal,Cat,Intact Female,22,Mixed Breed,Light,2016-10-18 22:31:00,2016-08-14 00:00:00,Intact Female,65,0
A771387,No,2018-05-04 11:05:00,Austin (TX),Stray,Normal,Cat,Unknown,15,Mixed Breed,Dark,2018-05-04 12:00:00,2018-04-19 00:00:00,Unknown,15,0
A711973,Yes,2015-09-14 15:51:00,Austin (TX),Stray,Normal,Dog,Intact Female,62,Mixed Breed,Light,2015-09-16 11:12:00,2015-07-14 00:00:00,Intact Female,64,0
A691299,Yes,2014-11-02 15:12:00,Austin (TX),Stray,Normal,Dog,Spayed Female,730,Mixed Breed,Dark,2014-11-11 12:02:00,2012-11-02 00:00:00,Spayed Female,739,0
A780434,No,2018-09-14 17:11:00,Austin (TX),Stray,Sick,Cat,Spayed Female,365,Mixed Breed,Light,2018-09-15 18:15:00,2017-09-14 00:00:00,Spayed Female,366,1
A721884,Yes,2016-03-06 14:55:00,Austin (TX),Stray,Normal,Dog,Neutered Male,731,Mixed Breed,Light,2016-03-10 13:42:00,2014-03-06 00:00:00,Neutered Male,735,0
A772413,Yes,2018-05-19 12:58:00,Travis (TX),Stray,Nursing,Dog,Intact Female,37,Mixed Breed,Dark,2018-06-06 17:59:00,2018-04-12 00:00:00,Spayed Female,55,0
A792410,Yes,2019-04-10 12:38:00,Austin (TX),Stray,Normal,Dog,Intact Male,304,Pure Breed,Dark,2019-04-10 17:53:00,2018-06-10 00:00:00,Intact Male,304,0
A781376,Yes,2018-09-28 11:50:00,Austin (TX),Stray,Normal,Cat,Intact Male,179,Mixed Breed,Dark,2018-11-12 13:25:00,2018-04-02 00:00:00,Neutered Male,224,0
A724687,No,2016-04-20 14:37:00,Austin (TX),Stray,Normal,Dog,Intact Female,60,Mixed Breed,Light,2016-04-24 17:04:00,2016-02-20 00:00:00,Spayed Female,64,0
A762993,Yes,2017-12-01 10:41:00,Austin (TX),Stray,Normal,Dog,Intact Female,731,Mixed Breed,Dark,2017-12-10 16:02:00,2015-12-01 00:00:00,Spayed Female,740,0
A679024,Yes,2014-05-23 17:21:00,Austin (TX),Stray,Normal,Dog,Intact Female,212,Pure Breed,Dark,2014-05-27 14:22:00,2013-10-23 00:00:00,Spayed Female,216,0
A778192,Yes,2018-08-13 15:10:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,156,Mixed Breed,Light,2018-08-18 14:58:00,2018-03-10 00:00:00,Neutered Male,161,0
A793716,No,2019-04-28 23:23:00,Austin (TX),Public Assist,Normal,Bat,Unknown,365,Mixed Breed,Dark,2019-04-29 08:55:00,2018-04-28 00:00:00,Unknown,366,1
A619664,Yes,2015-08-05 11:34:00,Austin (TX),Stray,Normal,Dog,Spayed Female,5477,Mixed Breed,Light,2015-08-11 18:17:00,2000-08-06 00:00:00,Spayed Female,5483,0
A738623,Yes,2016-11-18 14:38:00,Travis (TX),Stray,Normal,Dog,Spayed Female,3653,Mixed Breed,Dark,2017-03-09 13:50:00,2006-11-18 00:00:00,Spayed Female,3764,0
A799715,Yes,2019-07-11 11:46:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,137,Pure Breed,Dark,2019-07-16 08:19:00,2019-02-24 00:00:00,Neutered Male,142,0
A757542,Yes,2017-09-03 17:44:00,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,365,Mixed Breed,Light,2017-10-03 14:10:00,2016-09-03 00:00:00,Intact Female,395,0
A779895,Yes,2018-09-06 14:01:00,Austin (TX),Stray,Normal,Cat,Intact Male,31,Mixed Breed,Light,2018-09-12 18:35:00,2018-08-06 00:00:00,Intact Male,37,0
A741788,No,2017-01-08 17:24:00,Austin (TX),Stray,Normal,Dog,Intact Male,51,Mixed Breed,Light,2017-01-12 19:02:00,2016-11-18 00:00:00,Neutered Male,55,0
A780192,Yes,2018-09-11 10:44:00,Webberville (TX),Stray,Normal,Dog,Intact Male,153,Mixed Breed,Dark,2018-09-18 17:23:00,2018-04-11 00:00:00,Neutered Male,160,0
A669526,No,2013-12-21 19:11:00,Travis (TX),Wildlife,Normal,Bat,Unknown,365,Mixed Breed,Dark,2013-12-22 09:20:00,2012-12-21 00:00:00,Unknown,366,1
A685375,No,2014-08-06 13:48:00,Austin (TX),Stray,Normal,Cat,Intact Male,15,Mixed Breed,Light,2014-08-06 19:24:00,2014-07-22 00:00:00,Intact Male,15,0
A805382,Yes,2019-09-26 11:30:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,60,Pure Breed,Dark,2019-11-03 17:15:00,2019-07-28 00:00:00,Intact Female,98,0
A747266,Yes,2017-04-17 13:13:00,Austin (TX),Stray,Normal,Cat,Intact Male,31,Mixed Breed,Light,2017-05-27 16:30:00,2017-03-17 00:00:00,Intact Male,71,0
A732957,No,2016-08-15 14:36:00,Austin (TX),Stray,Normal,Dog,Intact Female,305,Pure Breed,Dark,2016-08-19 18:08:00,2015-10-15 00:00:00,Spayed Female,309,0
A669806,Yes,2013-12-27 15:22:00,Austin (TX),Stray,Normal,Dog,Intact Male,365,Mixed Breed,Light,2013-12-29 17:58:00,2012-12-27 00:00:00,Neutered Male,367,0
A781999,Yes,2018-10-09 12:50:00,Travis (TX),Stray,Normal,Cat,Intact Female,730,Mixed Breed,Dark,2018-10-14 19:21:00,2016-10-09 00:00:00,Intact Female,735,0
A788925,No,2019-02-11 17:09:00,Austin (TX),Stray,Normal,Dog,Intact Male,730,Mixed Breed,Light,2019-02-15 16:13:00,2017-02-11 00:00:00,Neutered Male,734,0
A673682,Yes,2014-02-28 15:04:00,Austin (TX),Stray,Normal,Dog,Intact Female,1096,Pure Breed,Dark,2014-07-13 17:13:00,2011-02-28 00:00:00,Spayed Female,1231,0
A719656,Yes,2016-01-24 18:06:00,Austin (TX),Stray,Normal,Dog,Neutered Male,121,Mixed Breed,Light,2016-02-02 15:57:00,2015-09-25 00:00:00,Neutered Male,130,0
A541607,Yes,2016-12-19 09:19:00,Austin (TX),Stray,Normal,Dog,Spayed Female,2880,Mixed Breed,Dark,2016-12-20 15:08:00,2009-01-30 00:00:00,Spayed Female,2881,0
A754786,Yes,2017-07-25 00:01:00,Austin (TX),Stray,Sick,Cat,Spayed Female,6208,Mixed Breed,Light,2017-07-26 11:37:00,2000-07-26 00:00:00,Spayed Female,6209,0
A786180,Yes,2018-12-20 11:02:00,Austin (TX),Public Assist,Normal,Cat,Neutered Male,1463,Mixed Breed,Light,2018-12-26 15:46:00,2014-12-18 00:00:00,Neutered Male,1469,0
A790297,Yes,2019-03-07 17:06:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,516,Mixed Breed,Dark,2019-03-10 16:42:00,2017-10-07 00:00:00,Spayed Female,519,0
A689195,No,2014-09-30 14:50:00,Manor (TX),Stray,Normal,Dog,Intact Male,730,Mixed Breed,Light,2014-10-04 16:20:00,2012-09-30 00:00:00,Neutered Male,734,0
A688689,Yes,2014-11-02 14:24:00,Pflugerville (TX),Owner Surrender,Normal,Dog,Intact Male,176,Mixed Breed,Light,2014-11-03 13:52:00,2014-05-10 00:00:00,Intact Male,177,0
A679254,No,2014-05-18 09:48:00,Austin (TX),Wildlife,Sick,Bat,Unknown,365,Mixed Breed,Dark,2014-05-18 10:38:00,2013-05-18 00:00:00,Unknown,365,1
A771532,No,2018-05-06 13:09:00,Austin (TX),Stray,Normal,Dog,Intact Female,147,Mixed Breed,Dark,2018-05-10 18:00:00,2017-12-10 00:00:00,Spayed Female,151,0
A764402,Yes,2017-12-29 13:35:00,Austin (TX),Stray,Normal,Dog,Intact Male,76,Mixed Breed,Dark,2018-01-03 16:11:00,2017-10-14 00:00:00,Neutered Male,81,0
A674218,Yes,2014-03-09 18:10:00,Austin (TX),Stray,Normal,Dog,Intact Male,365,Pure Breed,Light,2014-03-30 16:05:00,2013-03-09 00:00:00,Neutered Male,386,0
A676195,Yes,2014-04-06 10:47:00,Austin (TX),Stray,Normal,Cat,Intact Female,150,Mixed Breed,Dark,2014-05-03 14:00:00,2013-11-07 00:00:00,Spayed Female,177,0
A810128,Yes,2019-12-07 14:51:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,153,Pure Breed,Light,2019-12-22 16:28:00,2019-07-07 00:00:00,Neutered Male,168,0
A789835,No,2019-02-28 13:44:00,Austin (TX),Stray,Normal,Other,Neutered Male,365,Mixed Breed,Light,2019-03-04 12:06:00,2018-02-28 00:00:00,Neutered Male,369,0
A744457,Yes,2017-03-01 13:28:00,Travis (TX),Stray,Normal,Dog,Intact Male,6939,Pure Breed,Dark,2017-03-02 17:07:00,1998-03-02 00:00:00,Intact Male,6940,0
A684299,Yes,2014-07-21 15:38:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2922,Mixed Breed,Dark,2014-08-27 18:00:00,2006-07-21 00:00:00,Spayed Female,2959,0
A694252,Yes,2014-12-23 15:46:00,Austin (TX),Owner Surrender,Injured,Cat,Neutered Male,548,Mixed Breed,Dark,2014-12-29 14:33:00,2013-06-23 00:00:00,Neutered Male,554,0
A784962,Yes,2018-11-23 18:35:00,Austin (TX),Stray,Normal,Dog,Spayed Female,730,Mixed Breed,Dark,2018-11-24 11:53:00,2016-11-23 00:00:00,Spayed Female,731,0
A781144,Yes,2018-09-25 10:14:00,Austin (TX),Stray,Normal,Cat,Intact Female,24,Mixed Breed,Light,2018-11-08 17:11:00,2018-09-01 00:00:00,Spayed Female,68,0
A667929,Yes,2013-11-25 11:04:00,Del Valle (TX),Stray,Normal,Dog,Intact Male,31,Pure Breed,Light,2013-12-20 18:15:00,2013-10-25 00:00:00,Neutered Male,56,0
A752419,Yes,2017-06-22 10:49:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,731,Mixed Breed,Dark,2017-08-24 14:46:00,2015-06-22 00:00:00,Spayed Female,794,0
A740066,Yes,2016-12-10 15:42:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,366,Mixed Breed,Light,2016-12-13 17:54:00,2015-12-10 00:00:00,Neutered Male,369,0
A622938,Yes,2016-02-10 11:13:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1782,Mixed Breed,Light,2016-04-13 16:58:00,2011-03-26 00:00:00,Spayed Female,1845,0
A761300,Yes,2017-11-02 13:30:00,Austin (TX),Stray,Normal,Dog,Intact Female,72,Mixed Breed,Dark,2017-11-06 19:26:00,2017-08-22 00:00:00,Spayed Female,76,0
A744570,Yes,2017-03-03 12:07:00,Pflugerville (TX),Owner Surrender,Normal,Cat,Neutered Male,1461,Mixed Breed,Dark,2017-05-21 19:20:00,2013-03-03 00:00:00,Neutered Male,1540,0
A703428,Yes,2015-05-24 15:53:00,Del Valle (TX),Stray,Normal,Other,Unknown,365,Mixed Breed,Dark,2015-06-07 11:06:00,2014-05-24 00:00:00,Unknown,379,0
A779613,No,2018-09-03 15:41:00,Austin (TX),Stray,Normal,Cat,Intact Female,365,Mixed Breed,Dark,2018-09-04 15:12:00,2017-09-03 00:00:00,Intact Female,366,0
A803829,No,2019-09-06 17:59:00,Austin (TX),Stray,Normal,Dog,Intact Female,365,Mixed Breed,Dark,2019-09-15 12:08:00,2018-09-06 00:00:00,Spayed Female,374,0
A771610,Yes,2018-05-07 14:14:00,Austin (TX),Stray,Normal,Cat,Intact Female,12,Mixed Breed,Dark,2018-08-18 14:16:00,2018-04-25 00:00:00,Spayed Female,115,0
A693703,Yes,2014-12-13 12:10:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,153,Mixed Breed,Dark,2014-12-15 13:15:00,2014-07-13 00:00:00,Spayed Female,155,0
A807392,Yes,2019-10-24 13:17:00,Travis (TX),Stray,Normal,Dog,Intact Female,365,Pure Breed,Light,2019-10-28 14:56:00,2018-10-24 00:00:00,Intact Female,369,0
