AnimalID,Name_Provided,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome
A810342,Yes,2019-12-11 15:57:00,Austin (TX),Stray,Injured,Dog,Intact Male,730,Pure Breed,Dark,2019-12-12 12:33:00,2017-12-11 00:00:00,Intact Male,731,0
A748469,Yes,2019-01-06 23:25:00,Austin (TX),Stray,Normal,Dog,Intact Male,702,Mixed Breed,Dark,2019-01-25 13:26:00,2017-02-03 00:00:00,Neutered Male,721,0
A727304,Yes,2016-05-24 18:35:00,Del Valle (TX),Owner Surrender,Normal,Dog,Neutered Male,370,Mixed Breed,Light,2016-05-24 19:00:00,2015-05-20 00:00:00,Neutered Male,370,0
A796888,Yes,2019-06-06 17:30:00,Travis (TX),Stray,Normal,Cat,Intact Female,72,Pure Breed,Dark,2019-06-16 18:42:00,2019-03-26 00:00:00,Spayed Female,82,0
A671276,Yes,2017-02-08 10:00:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1328,Mixed Breed,Dark,2017-02-11 12:26:00,2013-06-21 00:00:00,Neutered Male,1331,0
A760783,Yes,2017-10-23 18:51:00,Austin (TX),Stray,Normal,Cat,Intact Male,61,Mixed Breed,Dark,2018-01-02 20:47:00,2017-08-23 00:00:00,Neutered Male,132,0
A683180,Yes,2014-07-08 11:04:00,Austin (TX),Stray,Normal,Dog,Intact Female,2557,Mixed Breed,Light,2014-07-10 12:51:00,2007-07-08 00:00:00,Spayed Female,2559,0
A797153,Yes,2019-06-10 11:12:00,Austin (TX),Stray,Normal,Cat,Intact Male,66,Pure Breed,Dark,2019-07-13 16:53:00,2019-04-05 00:00:00,Neutered Male,99,0
A689858,Yes,2014-10-10 15:18:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,365,Pure Breed,Light,2014-11-23 11:31:00,2013-10-10 00:00:00,Neutered Male,409,0
A728534,Yes,2016-06-05 13:48:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1096,Mixed Breed,Dark,2016-07-02 18:06:00,2013-06-05 00:00:00,Spayed Female,1123,0
A702400,Yes,2015-05-13 11:19:00,Austin (TX),Stray,Normal,Dog,Intact Male,166,Pure Breed,Dark,2015-05-17 17:52:00,2014-11-28 00:00:00,Neutered Male,170,0
A797116,Yes,2019-06-30 18:17:00,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,2212,Pure Breed,Dark,2019-07-01 16:20:00,2013-06-09 00:00:00,Spayed Female,2213,0
A682323,No,2014-06-26 14:21:00,Austin (TX),Stray,Normal,Cat,Intact Female,22,Mixed Breed,Dark,2014-06-26 15:55:00,2014-06-04 00:00:00,Intact Female,22,0
A749082,No,2017-05-10 16:35:00,Austin (TX),Stray,Normal,Cat,Intact Male,45,Mixed Breed,Light,2017-05-11 15:51:00,2017-03-26 00:00:00,Intact Male,46,0
A756517,Yes,2017-08-21 11:38:00,Travis (TX),Stray,Normal,Cat,Intact Female,92,Mixed Breed,Light,2017-08-26 17:02:00,2017-05-21 00:00:00,Spayed Female,97,0
A778212,No,2018-08-10 12:17:00,Austin (TX),Stray,Normal,Dog,Neutered Male,2921,Mixed Breed,Dark,2018-08-11 18:32:00,2010-08-11 00:00:00,Neutered Male,2922,0
A771503,No,2018-05-06 07:58:00,Austin (TX),Stray,Normal,Cat,Intact Male,22,Mixed Breed,Light,2018-05-06 14:04:00,2018-04-14 00:00:00,Intact Male,22,0
A804066,No,2019-09-10 11:53:00,Austin (TX),Stray,Normal,Cat,Intact Female,730,Pure Breed,Dark,2019-09-11 18:21:00,2017-09-10 00:00:00,Intact Female,731,0
A690905,Yes,2014-10-27 18:15:00,Austin (TX),Stray,Normal,Cat,Intact Female,43,Mixed Breed,Dark,2014-12-17 12:07:00,2014-09-14 00:00:00,Spayed Female,94,0
A673600,Yes,2014-02-27 12:46:00,Austin (TX),Stray,Normal,Dog,Intact Male,162,Mixed Breed,Dark,2014-03-08 16:14:00,2013-09-18 00:00:00,Neutered Male,171,0
A710180,Yes,2015-08-19 11:55:00,Austin (TX),Public Assist,Sick,Dog,Spayed Female,1461,Mixed Breed,Light,2016-06-19 16:53:00,2011-08-19 00:00:00,Spayed Female,1766,0
A750761,Yes,2017-05-31 13:05:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2922,Mixed Breed,Dark,2017-09-19 13:37:00,2009-05-31 00:00:00,Neutered Male,3033,0
A716424,Yes,2015-11-19 15:02:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2191,Mixed Breed,Dark,2016-01-02 15:31:00,2009-11-19 00:00:00,Spayed Female,2235,0
A790431,No,2019-05-11 17:52:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,136,Pure Breed,Dark,2019-05-12 13:31:00,2018-12-26 00:00:00,Neutered Male,137,0
A734079,Yes,2016-09-01 10:01:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,184,Mixed Breed,Dark,2016-09-11 17:02:00,2016-03-01 00:00:00,Spayed Female,194,0
A801267,Yes,2019-08-02 11:10:00,Austin (TX),Public Assist,Normal,Dog,Intact Female,1095,Pure Breed,Light,2019-08-02 12:37:00,2016-08-02 00:00:00,Intact Female,1095,0
A779034,No,2018-08-24 13:47:00,Del Valle (TX),Stray,Normal,Cat,Intact Female,365,Mixed Breed,Light,2018-08-27 13:47:00,2017-08-24 00:00:00,Intact Female,368,0
A747028,Yes,2017-04-12 16:38:00,Austin (TX),Stray,Sick,Cat,Spayed Female,1826,Mixed Breed,Dark,2017-08-19 19:23:00,2012-04-12 00:00:00,Spayed Female,1955,0
A712339,No,2015-09-21 17:14:00,Austin (TX),Wildlife,Normal,Bat,Intact Male,184,Pure Breed,Dark,2015-09-21 18:13:00,2015-03-21 00:00:00,Intact Male,184,1
A677571,No,2014-04-26 14:29:00,Austin (TX),Stray,Normal,Cat,Intact Male,20,Mixed Breed,Light,2014-04-26 15:25:00,2014-04-06 00:00:00,Intact Male,20,0
A688176,Yes,2014-09-15 18:04:00,Austin (TX),Stray,Normal,Dog,Intact Female,730,Mixed Breed,Light,2014-10-21 13:46:00,2012-09-15 00:00:00,Spayed Female,766,1
A707357,No,2015-07-11 15:44:00,Austin (TX),Stray,Normal,Cat,Unknown,45,Mixed Breed,Dark,2015-07-12 17:30:00,2015-05-27 00:00:00,Unknown,46,0
A721647,No,2016-03-01 16:56:00,Austin (TX),Stray,Normal,Cat,Intact Male,152,Mixed Breed,Light,2016-03-06 13:59:00,2015-10-01 00:00:00,Intact Male,157,0
A773340,Yes,2018-05-30 16:07:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4383,Mixed Breed,Dark,2018-06-04 13:42:00,2006-05-30 00:00:00,Spayed Female,4388,0
A674197,Yes,2014-03-09 13:06:00,Austin (TX),Stray,Normal,Dog,Intact Male,546,Mixed Breed,Dark,2014-03-11 18:02:00,2012-09-09 00:00:00,Neutered Male,548,0
A741201,Yes,2016-12-29 13:09:00,Austin (TX),Stray,Normal,Cat,Intact Male,76,Mixed Breed,Dark,2017-01-03 22:27:00,2016-10-14 00:00:00,Neutered Male,81,0
A782144,Yes,2018-10-10 18:21:00,Austin (TX),Stray,Normal,Dog,Intact Female,122,Mixed Breed,Dark,2018-10-11 13:14:00,2018-06-10 00:00:00,Intact Female,123,0
A738895,No,2016-11-23 10:45:00,Austin (TX),Stray,Injured,Cat,Unknown,92,Mixed Breed,Dark,2016-11-23 11:16:00,2016-08-23 00:00:00,Unknown,92,1
A694389,Yes,2014-12-27 12:37:00,Austin (TX),Stray,Normal,Dog,Intact Male,548,Mixed Breed,Light,2014-12-27 16:19:00,2013-06-27 00:00:00,Intact Male,548,0
A781859,Yes,2018-10-06 17:17:00,Austin (TX),Stray,Normal,Dog,Intact Male,730,Mixed Breed,Dark,2018-10-06 18:53:00,2016-10-06 00:00:00,Intact Male,730,0
A727426,Yes,2016-06-23 10:00:00,Austin (TX),Public Assist,Normal,Dog,Neutered Male,763,Pure Breed,Dark,2016-07-11 17:22:00,2014-05-22 00:00:00,Neutered Male,781,1
A789433,No,2019-02-21 14:46:00,Austin (TX),Stray,Nursing,Cat,Unknown,0,Mixed Breed,Dark,2019-02-22 08:12:00,2019-02-21 00:00:00,Unknown,1,0
A703371,Yes,2015-05-23 16:40:00,Austin (TX),Stray,Normal,Dog,Intact Female,730,Mixed Breed,Light,2015-05-31 17:29:00,2013-05-23 00:00:00,Spayed Female,738,0
A667088,Yes,2013-11-12 13:50:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,549,Mixed Breed,Light,2013-11-13 14:36:00,2012-05-12 00:00:00,Spayed Female,550,0
A689011,No,2014-09-27 17:09:00,Austin (TX),Stray,Normal,Cat,Intact Female,22,Mixed Breed,Dark,2014-09-27 18:57:00,2014-09-05 00:00:00,Intact Female,22,0
A700148,Yes,2015-04-08 16:31:00,Austin (TX),Stray,Normal,Cat,Intact Male,7,Mixed Breed,Light,2015-06-03 17:35:00,2015-04-01 00:00:00,Neutered Male,63,0
A708918,No,2015-08-02 15:32:00,Del Valle (TX),Stray,Normal,Dog,Intact Male,2191,Pure Breed,Dark,2015-08-05 14:21:00,2009-08-02 00:00:00,Intact Male,2194,0
A679073,No,2014-05-16 11:22:00,Austin (TX),Stray,Normal,Cat,Intact Female,1096,Mixed Breed,Dark,2014-05-17 20:24:00,2011-05-16 00:00:00,Intact Female,1097,0
A649662,Yes,2016-04-17 13:58:00,Austin (TX),Stray,Normal,Dog,Spayed Female,1238,Pure Breed,Light,2016-04-17 16:37:00,2012-11-26 00:00:00,Spayed Female,1238,0
A695888,No,2015-01-25 00:12:00,Austin (TX),Wildlife,Normal,Bat,Unknown,31,Pure Breed,Dark,2015-01-25 09:37:00,2014-12-25 00:00:00,Unknown,31,1
A695823,Yes,2015-01-23 17:23:00,Del Valle (TX),Stray,Normal,Dog,Intact Male,45,Mixed Breed,Light,2015-02-02 17:49:00,2014-12-09 00:00:00,Neutered Male,55,0
A793313,Yes,2019-04-23 13:28:00,Pflugerville (TX),Stray,Normal,Cat,Spayed Female,1704,Mixed Breed,Dark,2019-04-29 18:55:00,2014-08-23 00:00:00,Spayed Female,1710,0
A720725,Yes,2016-02-14 16:02:00,Travis (TX),Public Assist,Normal,Bird,Intact Male,365,Mixed Breed,Light,2016-03-08 18:56:00,2015-02-14 00:00:00,Intact Male,388,0
A809193,Yes,2019-11-20 16:04:00,Austin (TX),Stray,Normal,Dog,Intact Female,1461,Pure Breed,Dark,2020-01-04 17:46:00,2015-11-20 00:00:00,Spayed Female,1506,0
A734218,Yes,2016-09-21 12:28:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,384,Pure Breed,Dark,2016-10-09 14:42:00,2015-09-03 00:00:00,Neutered Male,402,0
A720946,Yes,2016-02-18 12:55:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,77,Mixed Breed,Light,2016-02-21 00:00:00,2015-12-03 00:00:00,Neutered Male,80,0
A677624,Yes,2014-04-27 11:23:00,Austin (TX),Stray,Normal,Cat,Intact Female,36,Mixed Breed,Dark,2014-06-21 14:51:00,2014-03-22 00:00:00,Spayed Female,91,0
A711852,Yes,2015-11-12 14:38:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,88,Mixed Breed,Light,2015-11-13 13:29:00,2015-08-16 00:00:00,Neutered Male,89,0
A777114,No,2018-07-23 16:48:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,54,Mixed Breed,Dark,2018-07-24 15:13:00,2018-05-30 00:00:00,Intact Male,55,0
A744468,Yes,2017-03-02 11:13:00,Austin (TX),Public Assist,Normal,Cat,Spayed Female,2923,Mixed Breed,Dark,2017-03-08 11:21:00,2009-03-01 00:00:00,Spayed Female,2929,0
A764104,No,2017-12-21 15:43:00,Austin (TX),Stray,Normal,Dog,Intact Male,365,Mixed Breed,Dark,2017-12-26 17:24:00,2016-12-21 00:00:00,Neutered Male,370,0
A739457,Yes,2016-12-03 12:31:00,Austin (TX),Stray,Sick,Cat,Intact Male,731,Mixed Breed,Dark,2016-12-17 17:53:00,2014-12-03 00:00:00,Neutered Male,745,0
A807564,No,2019-10-26 13:57:00,Austin (TX),Stray,Normal,Dog,Intact Male,730,Pure Breed,Dark,2019-10-31 17:27:00,2017-10-26 00:00:00,Neutered Male,735,0
A733238,Yes,2016-08-22 08:46:00,Austin (TX),Stray,Normal,Dog,Neutered Male,369,Mixed Breed,Dark,2016-08-26 12:21:00,2015-08-19 00:00:00,Neutered Male,373,0
A702175,No,2015-05-10 12:11:00,Austin (TX),Stray,Normal,Dog,Neutered Male,1461,Mixed Breed,Light,2015-05-16 10:50:00,2011-05-10 00:00:00,Neutered Male,1467,0
A675504,Yes,2014-03-28 13:46:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1642,Mixed Breed,Light,2014-04-13 13:14:00,2009-09-28 00:00:00,Neutered Male,1658,0
A772203,Yes,2018-05-16 12:10:00,Austin (TX),Public Assist,Normal,Dog,Intact Female,730,Mixed Breed,Dark,2018-05-27 18:52:00,2016-05-16 00:00:00,Spayed Female,741,0
A741477,Yes,2017-01-02 16:30:00,Austin (TX),Stray,Normal,Dog,Intact Female,54,Mixed Breed,Dark,2017-01-12 15:30:00,2016-11-09 00:00:00,Intact Female,64,0
A751696,Yes,2017-06-11 14:33:00,Austin (TX),Stray,Normal,Dog,Intact Male,182,Mixed Breed,Dark,2017-06-23 18:16:00,2016-12-11 00:00:00,Neutered Male,194,0
A765578,Yes,2018-01-23 09:13:00,Austin (TX),Public Assist,Normal,Cat,Intact Male,365,Mixed Breed,Light,2018-02-03 16:54:00,2017-01-23 00:00:00,Neutered Male,376,0
A754256,Yes,2017-07-18 10:59:00,Austin (TX),Stray,Normal,Dog,Neutered Male,731,Mixed Breed,Light,2017-07-22 12:44:00,2015-07-18 00:00:00,Neutered Male,735,0
A693411,Yes,2014-12-07 13:18:00,Del Valle (TX),Stray,Normal,Dog,Neutered Male,3652,Mixed Breed,Dark,2014-12-17 12:07:00,2004-12-07 00:00:00,Neutered Male,3662,0
A690783,Yes,2014-10-26 08:37:00,Austin (TX),Stray,Normal,Cat,Intact Female,35,Mixed Breed,Dark,2014-12-23 16:53:00,2014-09-21 00:00:00,Spayed Female,93,0
A799726,Yes,2019-09-22 11:34:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,646,Pure Breed,Dark,2019-09-24 17:26:00,2017-12-15 00:00:00,Neutered Male,648,0
A756752,No,2017-08-24 16:34:00,Austin (TX),Stray,Normal,Dog,Spayed Female,365,Mixed Breed,Light,2017-08-28 13:11:00,2016-08-24 00:00:00,Spayed Female,369,0
A714879,No,2015-10-29 11:51:00,Austin (TX),Stray,Normal,Dog,Intact Female,365,Mixed Breed,Dark,2015-11-05 00:00:00,2014-10-29 00:00:00,Intact Female,372,0
A794570,Yes,2019-05-09 17:42:00,Austin (TX),Stray,Nursing,Cat,Intact Female,365,Pure Breed,Dark,2019-06-29 17:31:00,2018-05-09 00:00:00,Spayed Female,416,0
A708859,Yes,2015-08-01 14:57:00,Austin (TX),Stray,Normal,Dog,Spayed Female,1095,Pure Breed,Light,2015-08-02 12:20:00,2012-08-01 00:00:00,Spayed Female,1096,0
A774344,No,2018-06-13 18:32:00,Austin (TX),Stray,Normal,Cat,Intact Male,15,Mixed Breed,Light,2018-06-14 16:09:00,2018-05-29 00:00:00,Intact Male,16,0
A791285,Yes,2019-03-23 17:42:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,133,Mixed Breed,Dark,2019-03-25 17:23:00,2018-11-10 00:00:00,Neutered Male,135,0
A706906,Yes,2015-07-05 11:24:00,Austin (TX),Stray,Normal,Cat,Intact Male,46,Mixed Breed,Dark,2016-01-19 15:13:00,2015-05-20 00:00:00,Neutered Male,244,0
A810905,No,2019-12-22 14:31:00,Austin (TX),Stray,Normal,Other,Unknown,365,Pure Breed,Light,2019-12-28 12:30:00,2018-12-22 00:00:00,Unknown,371,0
A800900,No,2019-07-28 15:33:00,Austin (TX),Stray,Normal,Cat,Intact Female,15,Mixed Breed,Light,2019-07-28 19:15:00,2019-07-13 00:00:00,Intact Female,15,0
A688716,Yes,2014-09-22 17:25:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,335,Mixed Breed,Light,2014-09-24 18:09:00,2013-10-22 00:00:00,Neutered Male,337,0
A791927,Yes,2019-04-03 10:07:00,Travis (TX),Stray,Normal,Dog,Intact Male,46,Mixed Breed,Dark,2019-05-04 14:46:00,2019-02-16 00:00:00,Neutered Male,77,0
A715889,No,2015-11-12 07:09:00,Travis (TX),Stray,Injured,Dog,Intact Male,1095,Mixed Breed,Dark,2015-11-19 17:05:00,2012-11-12 00:00:00,Neutered Male,1102,0
A768439,No,2018-03-19 14:53:00,Pflugerville (TX),Stray,Normal,Cat,Intact Male,181,Mixed Breed,Light,2018-03-20 09:01:00,2017-09-19 00:00:00,Intact Male,182,1
A696813,Yes,2015-02-12 16:43:00,Austin (TX),Stray,Normal,Cat,Neutered Male,2919,Mixed Breed,Dark,2015-03-11 14:01:00,2007-02-15 00:00:00,Neutered Male,2946,0
A769149,Yes,2018-03-31 11:58:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,730,Mixed Breed,Light,2018-03-31 17:23:00,2016-03-31 00:00:00,Neutered Male,730,0
A683589,No,2014-07-12 14:29:00,Outside Jurisdiction,Stray,Nursing,Cat,Intact Female,6,Mixed Breed,Light,2014-07-12 16:19:00,2014-07-06 00:00:00,Intact Female,6,0
A808882,No,2019-11-15 14:51:00,Travis (TX),Stray,Normal,Cat,Intact Male,66,Pure Breed,Dark,2019-11-17 11:35:00,2019-09-10 00:00:00,Intact Male,68,0
A717955,Yes,2015-12-18 14:42:00,Austin (TX),Stray,Normal,Dog,Intact Female,365,Mixed Breed,Dark,2016-02-10 16:29:00,2014-12-18 00:00:00,Spayed Female,419,0
A705745,Yes,2015-06-20 17:08:00,Austin (TX),Stray,Normal,Cat,Intact Female,53,Mixed Breed,Dark,2015-07-12 15:11:00,2015-04-28 00:00:00,Spayed Female,75,0
A774108,Yes,2018-06-10 13:33:00,Austin (TX),Stray,Normal,Dog,Intact Female,212,Mixed Breed,Light,2018-06-18 18:50:00,2017-11-10 00:00:00,Spayed Female,220,0
A811297,Yes,2019-12-31 15:08:00,Austin (TX),Stray,Normal,Dog,Intact Female,730,Mixed Breed,Light,2020-01-07 19:20:00,2017-12-31 00:00:00,Spayed Female,737,0
A700638,Yes,2015-04-17 11:54:00,Austin (TX),Stray,Normal,Cat,Intact Female,45,Mixed Breed,Dark,2015-05-13 17:15:00,2015-03-03 00:00:00,Spayed Female,71,0
A731154,Yes,2016-09-10 12:19:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,118,Mixed Breed,Dark,2016-09-19 16:20:00,2016-05-15 00:00:00,Spayed Female,127,0
A679871,Yes,2014-05-27 17:30:00,Austin (TX),Stray,Normal,Cat,Spayed Female,1461,Mixed Breed,Dark,2014-06-05 18:57:00,2010-05-27 00:00:00,Spayed Female,1470,0
A764307,No,2017-12-27 15:22:00,Austin (TX),Wildlife,Sick,Bat,Unknown,365,Mixed Breed,Dark,2017-12-27 15:40:00,2016-12-27 00:00:00,Unknown,365,1
A751677,Yes,2017-06-11 11:16:00,Austin (TX),Owner Surrender,Injured,Cat,Unknown,7305,Mixed Breed,Light,2017-06-12 11:04:00,1997-06-11 00:00:00,Unknown,7306,1
A690149,Yes,2014-10-15 07:41:00,Travis (TX),Stray,Normal,Dog,Intact Female,365,Mixed Breed,Dark,2015-02-16 12:44:00,2013-10-15 00:00:00,Spayed Female,489,0
A767256,No,2018-02-25 18:44:00,Del Valle (TX),Stray,Normal,Dog,Intact Female,92,Mixed Breed,Light,2018-02-27 15:51:00,2017-11-25 00:00:00,Intact Female,94,0
A647241,Yes,2016-10-09 15:57:00,Austin (TX),Stray,Normal,Dog,Intact Male,1827,Mixed Breed,Dark,2016-10-09 17:38:00,2011-10-09 00:00:00,Intact Male,1827,0
A766980,Yes,2018-02-20 13:23:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,3287,Pure Breed,Dark,2018-03-28 19:18:00,2009-02-20 00:00:00,Neutered Male,3323,0
A793146,Yes,2019-04-20 11:32:00,Austin (TX),Stray,Normal,Cat,Intact Male,5,Mixed Breed,Dark,2019-06-21 13:31:00,2019-04-15 00:00:00,Neutered Male,67,0
A758610,Yes,2017-09-19 12:32:00,Austin (TX),Stray,Normal,Cat,Intact Male,92,Mixed Breed,Dark,2017-11-01 09:29:00,2017-06-19 00:00:00,Neutered Male,135,0
A730398,Yes,2016-07-03 17:00:00,Austin (TX),Stray,Normal,Dog,Neutered Male,1096,Pure Breed,Light,2016-07-21 17:34:00,2013-07-03 00:00:00,Neutered Male,1114,0
A784558,No,2018-11-16 14:13:00,Austin (TX),Stray,Normal,Dog,Spayed Female,1826,Mixed Breed,Dark,2018-11-20 18:03:00,2013-11-16 00:00:00,Spayed Female,1830,0
A614362,Yes,2013-12-07 11:05:00,Austin (TX),Stray,Normal,Dog,Neutered Male,849,Mixed Breed,Dark,2013-12-16 18:48:00,2011-08-11 00:00:00,Neutered Male,858,0
A778824,No,2018-08-21 10:07:00,Austin (TX),Wildlife,Sick,Other,Unknown,730,Mixed Breed,Dark,2018-08-22 08:47:00,2016-08-21 00:00:00,Unknown,731,1
A712153,Yes,2015-09-18 13:31:00,Austin (TX),Stray,Normal,Dog,Neutered Male,2191,Pure Breed,Light,2015-09-18 17:51:00,2009-09-18 00:00:00,Neutered Male,2191,0
A563380,Yes,2014-11-25 16:35:00,Austin (TX),Stray,Normal,Dog,Neutered Male,1821,Mixed Breed,Dark,2014-11-25 18:30:00,2009-11-30 00:00:00,Neutered Male,1821,0
A727410,Yes,2016-05-22 11:41:00,Austin (TX),Stray,Normal,Dog,Intact Male,367,Mixed Breed,Light,2016-05-26 17:11:00,2015-05-21 00:00:00,Neutered Male,371,0
A714800,Yes,2015-10-28 11:21:00,Austin (TX),Stray,Normal,Cat,Neutered Male,3652,Mixed Breed,Light,2015-11-23 14:35:00,2005-10-28 00:00:00,Neutered Male,3678,0
A701911,Yes,2015-05-09 11:20:00,Austin (TX),Stray,Normal,Dog,Intact Female,176,Mixed Breed,Light,2015-05-15 11:37:00,2014-11-14 00:00:00,Spayed Female,182,0
A737699,Yes,2016-11-02 17:40:00,Austin (TX),Stray,Normal,Dog,Intact Female,366,Mixed Breed,Light,2016-11-13 16:11:00,2015-11-02 00:00:00,Intact Female,377,0
A750849,Yes,2017-06-01 11:46:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,6209,Mixed Breed,Dark,2017-06-13 14:05:00,2000-06-01 00:00:00,Neutered Male,6221,0
A677773,No,2014-04-29 11:56:00,Del Valle (TX),Stray,Normal,Cat,Intact Female,6,Mixed Breed,Light,2014-04-29 13:38:00,2014-04-23 00:00:00,Intact Female,6,0
A735660,Yes,2016-09-27 10:57:00,Austin (TX),Stray,Normal,Dog,Intact Male,366,Mixed Breed,Dark,2016-10-01 14:44:00,2015-09-27 00:00:00,Intact Male,370,0
A777964,No,2018-08-06 12:56:00,Del Valle (TX),Stray,Sick,Cat,Intact Male,365,Mixed Breed,Light,2018-08-06 15:28:00,2017-08-06 00:00:00,Intact Male,365,1
A759146,Yes,2017-09-27 17:11:00,Austin (TX),Stray,Normal,Dog,Intact Male,2921,Mixed Breed,Dark,2017-09-28 19:04:00,2009-09-28 00:00:00,Intact Male,2922,0
A793211,Yes,2019-04-21 12:24:00,Austin (TX),Owner Surrender,Injured,Dog,Intact Male,3652,Mixed Breed,Dark,2019-04-21 13:55:00,2009-04-21 00:00:00,Intact Male,3652,1
A762108,Yes,2017-11-14 16:19:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2557,Pure Breed,Dark,2017-11-15 11:15:00,2010-11-14 00:00:00,Spayed Female,2558,0
A718313,Yes,2015-12-28 14:27:00,Austin (TX),Public Assist,Normal,Dog,Neutered Male,1827,Mixed Breed,Dark,2016-01-04 13:52:00,2010-12-27 00:00:00,Neutered Male,1834,0
A692562,Yes,2014-11-22 16:34:00,Austin (TX),Stray,Normal,Dog,Intact Male,214,Mixed Breed,Dark,2014-11-29 17:13:00,2014-04-22 00:00:00,Neutered Male,221,0
A737539,Yes,2016-10-31 10:59:00,Austin (TX),Stray,Normal,Cat,Intact Male,35,Mixed Breed,Dark,2017-01-12 09:36:00,2016-09-26 00:00:00,Neutered Male,108,0
A731895,Yes,2016-07-29 08:40:00,Austin (TX),Stray,Normal,Dog,Intact Male,274,Mixed Breed,Dark,2016-08-03 17:38:00,2015-10-29 00:00:00,Neutered Male,279,0
A808098,No,2019-11-04 10:58:00,Austin (TX),Stray,Normal,Cat,Intact Female,365,Pure Breed,Light,2019-11-08 11:00:00,2018-11-04 00:00:00,Intact Female,369,0
A800104,No,2019-07-16 11:52:00,Austin (TX),Public Assist,Normal,Other,Unknown,365,Pure Breed,Dark,2019-07-20 09:57:00,2018-07-16 00:00:00,Unknown,369,1
A680147,No,2014-05-30 12:05:00,Austin (TX),Stray,Normal,Dog,Intact Female,1,Mixed Breed,Light,2014-05-31 11:22:00,2014-05-29 00:00:00,Intact Female,2,0
A668690,Yes,2013-12-07 12:51:00,Austin (TX),Stray,Normal,Dog,Intact Female,731,Mixed Breed,Dark,2013-12-11 17:06:00,2011-12-07 00:00:00,Spayed Female,735,0
A706818,No,2015-07-03 16:15:00,Travis (TX),Stray,Normal,Cat,Intact Female,121,Mixed Breed,Dark,2015-07-04 08:01:00,2015-03-04 00:00:00,Intact Female,122,1
A731542,Yes,2016-09-02 18:44:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,772,Mixed Breed,Dark,2016-09-11 16:08:00,2014-07-23 00:00:00,Neutered Male,781,0
A729819,No,2016-06-24 12:04:00,Austin (TX),Stray,Normal,Cat,Intact Female,366,Mixed Breed,Dark,2016-06-25 09:00:00,2015-06-24 00:00:00,Intact Female,367,0
A780418,Yes,2018-09-14 14:36:00,Del Valle (TX),Stray,Normal,Dog,Intact Female,730,Mixed Breed,Light,2018-09-25 18:46:00,2016-09-14 00:00:00,Spayed Female,741,0
A687145,No,2014-09-01 12:42:00,Austin (TX),Stray,Normal,Cat,Intact Female,77,Mixed Breed,Light,2014-09-06 11:58:00,2014-06-16 00:00:00,Spayed Female,82,0
A730165,Yes,2016-06-29 15:58:00,Travis (TX),Stray,Normal,Dog,Intact Male,731,Mixed Breed,Dark,2016-09-13 13:45:00,2014-06-29 00:00:00,Neutered Male,807,0
A792292,No,2019-04-08 18:28:00,Austin (TX),Stray,Normal,Cat,Intact Female,365,Mixed Breed,Dark,2019-04-12 17:49:00,2018-04-08 00:00:00,Intact Female,369,0
A767146,No,2018-02-24 13:03:00,Manor (TX),Stray,Normal,Dog,Intact Male,62,Mixed Breed,Dark,2018-02-28 19:07:00,2017-12-24 00:00:00,Neutered Male,66,0
A762274,Yes,2017-11-17 11:37:00,Austin (TX),Stray,Normal,Cat,Spayed Female,2922,Mixed Breed,Light,2017-11-25 13:11:00,2009-11-17 00:00:00,Spayed Female,2930,0
A694741,Yes,2015-01-03 13:55:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,3652,Mixed Breed,Dark,2015-01-24 13:26:00,2005-01-03 00:00:00,Spayed Female,3673,0
A770926,Yes,2018-04-27 12:03:00,Creedmoor (TX),Stray,Normal,Cat,Intact Female,22,Mixed Breed,Dark,2018-09-19 13:58:00,2018-04-05 00:00:00,Spayed Female,167,0
