AnimalID,Name_Provided,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome,ColorOriginal,BreedOriginal,percent,SexKnown,CatOrDog,AgeIntake_bins,SickOrInjured
A813863,No,2020-02-20 08:06:00,Travis (TX),Owner Surrender,Nursing,Dog,Intact Male,1,Mixed Breed,Dark,2020-02-25 08:38:00,2020-02-19 00:00:00,Intact Male,6,1.0,Black,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(-1.001, 50.4]",0
A813861,Yes,2020-02-19 20:09:00,Austin (TX),Stray,Normal,Dog,Intact Female,183,Pure Breed,Light,2020-02-25 11:21:00,2019-08-20 00:00:00,Spayed Female,189,0.0,White/Black,Rat Terrier,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813860,Yes,2020-02-19 18:52:00,Austin (TX),Stray,Normal,Dog,Spayed Female,364,Pure Breed,Light,2020-02-20 11:08:00,2019-02-20 00:00:00,Spayed Female,365,0.0,White,Maltese,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813859,Yes,2020-02-19 18:09:00,Austin (TX),Stray,Normal,Dog,Intact Female,1095,Pure Breed,Dark,2020-02-20 14:30:00,2017-02-19 00:00:00,Intact Female,1096,0.0,Black/Gray,Siberian Husky,0.11655011655011654,1,1,"(731.0, 1095.0]",0
A813857,Yes,2020-02-19 17:02:00,Travis (TX),Stray,Normal,Dog,Intact Male,1095,Mixed Breed,Light,2020-02-25 16:54:00,2017-02-19 00:00:00,Intact Male,1101,0.0,Tan/White,Labrador Retriever Mix,0.11655011655011654,1,1,"(731.0, 1095.0]",0
A813855,No,2020-02-19 17:11:00,Austin (TX),Stray,Normal,Dog,Intact Male,92,Mixed Breed,Dark,2020-02-24 17:00:00,2019-11-19 00:00:00,Neutered Male,97,0.0,Black,Schnauzer Giant Mix,0.11655011655011654,1,1,"(76.0, 155.0]",0
A813851,Yes,2020-02-19 16:11:00,Austin (TX),Stray,Normal,Cat,Neutered Male,2191,Pure Breed,Dark,2020-02-23 12:06:00,2014-02-19 00:00:00,Neutered Male,2195,0.0,Black/White,Domestic Shorthair,0.11655011655011654,1,1,"(1654.2, 5478.0]",0
A813849,Yes,2020-02-19 15:55:00,Other,Owner Surrender,Normal,Cat,Neutered Male,365,Mixed Breed,Light,2020-03-08 16:54:00,2019-02-19 00:00:00,Neutered Male,383,0.0,Blue Point,Siamese Mix,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813847,Yes,2020-02-19 14:02:00,Austin (TX),Stray,Injured,Dog,Intact Male,1095,Mixed Breed,Dark,2020-02-25 18:14:00,2017-02-19 00:00:00,Neutered Male,1101,0.0,Brown/Black,Basset Hound Mix,0.7042253521126761,1,1,"(731.0, 1095.0]",1
A813844,Yes,2020-02-19 12:51:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,5113,Pure Breed,Dark,2020-02-25 11:36:00,2006-02-19 00:00:00,Intact Female,5119,0.0,Black/Brown,Wire Hair Fox Terrier,0.11655011655011654,1,1,"(1654.2, 5478.0]",0
A813843,Yes,2020-02-19 12:51:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3287,Mixed Breed,Light,2020-02-25 11:36:00,2011-02-19 00:00:00,Neutered Male,3293,0.0,Tan/White,Pembroke Welsh Corgi Mix,0.11655011655011654,1,1,"(1654.2, 5478.0]",0
A813840,Yes,2020-02-19 12:51:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3287,Mixed Breed,Light,2020-03-05 13:35:00,2011-02-19 00:00:00,Neutered Male,3302,0.0,Tan/White,Pembroke Welsh Corgi Mix,0.11655011655011654,1,1,"(1654.2, 5478.0]",0
